id,name,latitude,longitude,elevation
85799,PUERT0 MONTT,-41.43,-73.1,90.0
86580,MONTEVID. CARRASCO,-34.83,-56.0,33.0
87344,CORDOBA/ARGENTINIEN,-31.32,-64.22,484.0
87576,BUENOS AIRES AERO,-34.82,-58.53,20.0
87765,BARILOCHE AERO,-41.15,-71.17,845.0
88889,FALKLANDS,-51.82,-58.45,74.0
89574,PROGRESS,-69.38,76.38,14.0
91165,LIHUE,KAUAI,21.98,-159.35,45.0
91334,TRUK,CAROLINE IS.,7.47,151.83,2.0
91680,NANDI (FIDSCHI),-17.75,177.45,13.0
91925,ATUONA,-9.8,-139.03,51.0
